CustomerID,Country,MNOPartner,CustomerTenureMonths,AverageMonthlyTopUp,TopUpFrequency,BehavioralScore,RegistrationDate
C000001,Uganda,MTN Uganda,19,11.77,16,735,06/06/2023
C000002,Kenya,Safaricom,39,17.21,18,711,04/10/2021
C000003,Pakistan,Telenor Pakistan,1,8.69,8,481,13/11/2024
C000004,Ghana,MTN Ghana,52,7.9,9,421,30/08/2020
C000005,Nigeria,MTN Nigeria,41,15.58,21,625,12/08/2021
C000006,Pakistan,Jazz,27,9.31,6,468,11/10/2022
C000007,Uganda,Airtel Uganda,39,8.82,29,598,25/09/2021
C000008,Uganda,Airtel Uganda,69,12.52,25,895,12/04/2019
C000009,Nigeria,Airtel Nigeria,42,11.45,13,494,12/07/2021
C000010,Kenya,Safaricom,14,11.73,16,617,10/10/2023
C000011,Kenya,Safaricom,65,14.4,21,716,12/08/2019
C000012,Pakistan,Telenor Pakistan,54,10.8,12,596,04/07/2020
C000013,Ghana,MTN Ghana,21,9.57,12,422,02/04/2023
C000014,Uganda,Airtel Uganda,29,9.79,9,529,02/08/2022
C000015,Kenya,Safaricom,1,15.4,14,744,22/11/2024
C000016,Nigeria,MTN Nigeria,12,14.76,8,539,17/12/2023
C000017,Ghana,MTN Ghana,44,12.56,22,608,28/04/2021
C000018,Nigeria,MTN Nigeria,69,19.17,28,787,08/04/2019
C000019,Uganda,Airtel Uganda,35,7.12,1,454,07/02/2022
C000020,Ghana,MTN Ghana,46,14.26,24,735,28/02/2021
C000021,Uganda,Airtel Uganda,60,7.01,5,536,08/01/2020
C000022,Kenya,Airtel Kenya,46,10.83,13,540,23/03/2021
C000023,Pakistan,Zong,35,10.09,13,664,24/01/2022
C000024,Pakistan,Telenor Pakistan,90,14.21,30,867,08/08/2017
C000025,Uganda,Airtel Uganda,14,7.09,15,532,05/11/2023
C000026,Nigeria,Airtel Nigeria,8,12.63,16,521,03/05/2024
C000027,Kenya,Safaricom,40,13.01,20,726,03/09/2021
C000028,Nigeria,MTN Nigeria,16,16.18,10,497,09/09/2023
C000029,Nigeria,Airtel Nigeria,44,24.22,16,766,07/05/2021
C000030,Ghana,MTN Ghana,51,13.88,13,639,03/10/2020
C000031,Uganda,MTN Uganda,42,11.38,23,683,05/07/2021
C000032,Pakistan,Zong,48,9.94,23,748,14/01/2021
C000033,Kenya,Safaricom,46,12.51,21,719,13/03/2021
C000034,Kenya,Safaricom,1,10.81,15,472,11/11/2024
C000035,Kenya,Safaricom,36,,22,885,07/01/2022
C000036,Nigeria,MTN Nigeria,38,21.05,23,702,30/10/2021
C000037,Nigeria,Glo Nigeria,38,18.19,19,787,29/10/2021
C000038,Kenya,Safaricom,29,15.01,20,559,31/07/2022
C000039,Nigeria,Glo Nigeria,58,15.23,18,609,17/03/2020
C000040,Ghana,Telecel Ghana,40,12.58,22,670,18/09/2021
C000041,Kenya,Safaricom,1,10.22,3,361,10/11/2024
C000042,Uganda,MTN Uganda,30,9.86,27,674,07/07/2022
C000043,Uganda,MTN Uganda,59,9.4,22,566,14/02/2020
C000044,Kenya,Safaricom,61,15.37,18,627,29/12/2019
C000045,Uganda,MTN Uganda,48,10.58,22,638,31/12/2020
C000046,Uganda,Airtel Uganda,19,11.34,18,684,15/05/2023
C000047,Kenya,Safaricom,38,11.92,9,565,23/10/2021
C000048,Nigeria,Airtel Nigeria,42,15.49,19,601,12/07/2021
C000049,Ghana,MTN Ghana,58,17.41,23,866,26/03/2020
