ApplicationID,CustomerID,ApplicationDate,Product,RequestedAmount,BehavioralScoreAtDecision,Decision,DeclineReason
APP0000001,C000005,2025-06-03,BNPL,425.98,621,Approved,
APP0000002,C004135,2025-05-30,Nano,275.12,712,Approved,
APP0000003,C002365,2025-09-23,ACS,8.15,876,Approved,
APP0000004,C001667,2025-09-01,BNPL,543.51,774,Approved,
APP0000005,C001742,2025-04-13,ACS,25.85,653,Approved,
APP0000006,C002311,2025-04-28,Nano,222.7,771,Approved,
APP0000007,C002869,2025-01-12,ACS,20.32,511,Approved,
APP0000008,C004796,2025-05-20,Nano,211.73,586,Declined,Low Behavioural Score
APP0000009,C000126,2025-06-07,Nano,254.36,618,Approved,
APP0000010,C003040,2025-06-10,ACS,16.61,842,Approved,
APP0000011,C000329,2025-07-08,Nano,154.31,635,Approved,
APP0000012,C000031,2025-03-12,Nano,53.09,680,Approved,
APP0000013,C001516,2025-02-07,ACS,29.23,640,Approved,
APP0000014,C003887,2025-06-10,Nano,276.34,851,Approved,
APP0000015,C001729,2025-05-15,ACS,21.73,795,Approved,
APP0000016,C001807,2025-05-28,BNPL,567.06,642,Approved,
APP0000017,C004513,2025-02-13,Nano,181.1,602,Approved,
APP0000018,C001380,2025-05-06,ACS,9.37,488,Approved,
APP0000019,C003840,2025-06-13,ACS,22.29,623,Approved,
APP0000020,C004161,2025-06-24,ACS,23.22,622,Approved,
APP0000021,C003240,2025-02-27,Nano,191.84,453,Declined,Low Behavioural Score
APP0000022,C004838,2025-04-23,BNPL,106.12,634,Declined,High Existing Exposure
APP0000023,C004919,2025-07-05,Nano,41.11,687,Approved,
APP0000024,C000311,2025-03-27,Nano,60.51,376,Declined,Low Behavioural Score
APP0000025,C000851,2025-08-21,ACS,22.82,595,Approved,
APP0000026,C001952,2025-01-31,ACS,15.66,686,Approved,
APP0000027,C003331,2025-03-21,Nano,247.19,449,Declined,Low Behavioural Score
APP0000028,C001399,2025-07-16,ACS,29.1,512,Approved,
APP0000029,C003187,2025-05-09,BNPL,565.0,493,Declined,Low Behavioural Score
APP0000030,C004489,2025-04-04,ACS,12.88,580,Declined,Policy Rule Failure
APP0000031,C000032,2025-06-08,Nano,182.13,740,Approved,
APP0000032,C004339,2025-04-18,Nano,111.17,679,Approved,
