LoanID,ApplicationID,CustomerID,Product,LoanAmount,InterestRate,LoanTermDays,DisbursementDate,OutstandingBalance,LoanStatus
L0000001,APP0000001,C000005,BNPL,425.98,2.09,167,2025-06-05,62.96,Active
L0000002,APP0000002,C004135,Nano,275.12,13.61,30,2025-05-31,6.39,Closed
L0000003,APP0000003,C002365,ACS,8.15,8.37,7,2025-09-25,4.58,Active
L0000004,APP0000004,C001667,BNPL,543.51,2.53,138,2025-09-02,279.31,Active
L0000005,APP0000005,C001742,ACS,25.85,8.06,7,2025-04-14,0.0,Active
L0000006,APP0000006,C002311,Nano,222.7,14.57,30,2025-04-28,161.8,Defaulted
L0000007,APP0000007,C002869,ACS,20.32,8.16,7,2025-01-13,12.7,Defaulted
L0000008,APP0000009,C000126,Nano,254.36,15.74,30,2025-06-07,107.44,Active
L0000009,APP0000011,C000329,Nano,154.31,17.34,30,2025-07-08,42.1,Active
L0000010,APP0000012,C000031,Nano,53.09,13.66,30,2025-03-12,0.0,Closed
L0000011,APP0000014,C003887,Nano,276.34,13.81,30,2025-06-10,43.44,Active
L0000012,APP0000015,C001729,ACS,21.73,8.46,7,2025-05-15,0.8,Active
L0000013,APP0000016,C001807,BNPL,567.06,2.49,117,2025-05-28,362.17,Defaulted
L0000014,APP0000017,C004513,Nano,181.1,14.21,30,2025-02-13,0.0,Closed
L0000015,APP0000018,C001380,ACS,9.37,6.38,7,2025-05-08,4.36,Active
L0000016,APP0000019,C003840,ACS,22.29,7.19,7,2025-06-13,6.29,Active
L0000017,APP0000020,C004161,ACS,23.22,9.81,7,2025-06-26,8.24,Active
L0000018,APP0000023,C004919,Nano,41.11,16.94,30,2025-07-06,14.17,Active
L0000019,APP0000025,C000851,ACS,22.82,8.67,7,2025-08-23,14.63,Active
L0000020,APP0000026,C001952,ACS,15.66,6.52,7,2025-02-01,0.0,Closed
L0000021,APP0000028,C001399,ACS,29.1,6.8,7,2025-07-17,18.09,Active
L0000022,APP0000031,C000032,Nano,182.13,16.7,30,2025-06-09,47.86,Active
L0000023,APP0000032,C004339,Nano,111.17,17.2,30,2025-04-20,33.03,Active
L0000024,APP0000033,C002431,Nano,130.06,15.17,30,2025-04-02,0.0,Closed
L0000025,APP0000034,C004506,ACS,6.72,6.84,7,2025-07-09,1.82,Active
L0000026,APP0000035,C003402,ACS,13.36,6.63,7,2025-02-24,0.0,Closed
L0000027,APP0000036,C000214,Nano,292.63,13.02,30,2025-09-14,150.76,Active
L0000028,APP0000037,C004512,Nano,229.28,13.68,30,2025-01-16,0.0,Closed
L0000029,APP0000038,C000251,ACS,28.39,8.86,7,2025-03-02,0.0,Closed
L0000030,APP0000039,C001252,BNPL,382.58,2.99,113,2025-05-14,31.91,Active
L0000031,APP0000040,C002758,Nano,81.99,16.2,30,2025-04-01,19.37,Active
L0000032,APP0000041,C004520,ACS,6.78,6.2,7,2025-08-09,3.04,Active
L0000033,APP0000045,C001699,BNPL,286.64,4.79,141,2025-02-25,178.06,Defaulted
L0000034,APP0000046,C001302,Nano,39.78,16.54,30,2025-08-07,15.62,Active
L0000035,APP0000047,C002140,Nano,144.63,14.83,30,2025-02-18,0.0,Closed
L0000036,APP0000049,C003604,ACS,20.34,8.09,7,2025-04-01,15.64,Defaulted
L0000037,APP0000051,C000138,Nano,182.15,14.91,30,2025-03-13,0.0,Closed
L0000038,APP0000052,C003926,Nano,289.27,15.68,30,2025-07-17,76.88,Active
L0000039,APP0000053,C003234,Nano,246.59,14.82,30,2025-03-05,0.0,Active
L0000040,APP0000054,C000314,Nano,158.75,13.22,30,2025-10-21,100.8,Active
L0000041,APP0000055,C004734,ACS,9.84,7.32,7,2025-07-19,4.23,Active
L0000042,APP0000057,C003459,BNPL,149.3,2.75,123,2025-09-28,75.84,Active
L0000043,APP0000058,C002454,Nano,122.73,12.03,30,2025-09-02,62.75,Active
L0000044,APP0000061,C003624,ACS,13.6,6.97,7,2025-01-22,0.31,Closed
L0000045,APP0000062,C003052,ACS,10.16,8.33,7,2025-02-02,0.0,Closed
L0000046,APP0000063,C003052,BNPL,672.87,4.79,90,2025-02-11,0.0,Closed
L0000047,APP0000064,C003998,ACS,12.3,9.36,7,2025-02-06,4.91,Defaulted
L0000048,APP0000065,C000866,BNPL,932.57,2.15,165,2025-01-29,146.93,Active
L0000049,APP0000066,C000520,Nano,225.24,13.81,30,2025-03-06,0.0,Closed
L0000050,APP0000067,C002777,BNPL,215.56,3.13,142,2025-05-04,13.03,Active
L0000051,APP0000068,C004037,ACS,24.48,6.18,7,2025-06-25,3.69,Active
L0000052,APP0000069,C001268,BNPL,936.53,3.86,124,2025-02-20,134.54,Defaulted
L0000053,APP0000070,C002848,ACS,6.2,7.78,7,2025-02-27,0.61,Active
L0000054,APP0000071,C004786,ACS,15.14,9.13,7,2025-07-01,3.98,Active
L0000055,APP0000073,C000394,BNPL,243.44,4.15,104,2025-03-18,0.0,Closed
L0000056,APP0000074,C004395,Nano,247.85,12.92,30,2025-01-26,0.0,Closed
L0000057,APP0000076,C003550,BNPL,325.36,2.15,127,2025-03-17,0.0,Closed
L0000058,APP0000077,C003053,BNPL,693.58,4.81,145,2025-01-29,0.0,Closed
L0000059,APP0000079,C003117,Nano,239.44,13.79,30,2025-01-12,0.0,Closed
L0000060,APP0000081,C003224,Nano,285.35,13.37,30,2025-10-17,183.12,Active
L0000061,APP0000082,C002552,Nano,21.68,12.6,30,2025-04-23,0.0,Closed
L0000062,APP0000083,C003961,Nano,74.48,16.67,30,2025-04-07,0.0,Closed
L0000063,APP0000084,C004183,Nano,136.98,16.91,30,2025-09-17,71.67,Active
L0000064,APP0000086,C004979,ACS,17.2,7.76,7,2025-03-12,0.0,Active
L0000065,APP0000087,C002244,Nano,50.66,13.36,30,2025-09-07,26.08,Active
L0000066,APP0000088,C003781,Nano,34.0,14.38,30,2025-09-11,17.31,Active
L0000067,APP0000089,C001714,Nano,117.09,12.5,30,2025-06-27,58.94,Active
L0000068,APP0000090,C003951,Nano,64.57,17.39,30,2025-06-15,9.06,Active
L0000069,APP0000091,C001337,Nano,69.41,14.87,30,2025-05-18,20.03,Active
L0000070,APP0000092,C003498,Nano,102.62,17.99,30,2025-04-14,0.0,Closed
L0000071,APP0000094,C003835,BNPL,805.92,3.02,149,2025-06-30,227.99,Active
L0000072,APP0000095,C001453,ACS,10.21,7.85,7,2025-05-08,5.4,Active
L0000073,APP0000096,C001216,ACS,15.77,9.32,7,2025-04-29,10.18,Defaulted
